gtfs_id,stop_code,name,stop_desc,lat,lon,transport:zone,url,location_type,parent_station
880325,,"Helen St",, -27.566885, 151.939102,,,0,
880326,,"West St - Toowoomba Base Hospital",, -27.568937, 151.941879,,,0,
880327,,"Newington Park",, -27.571775, 151.941391,,,0,
880328,,"West / South",, -27.575521, 151.940674,,,0,
880329,,"Peak St",, -27.577471, 151.940323,,,0,
880330,,"City Golf Course",, -27.579229, 151.939987,,,0,
880331,,"Butt St",, -27.582882, 151.939346,,,0,
880332,,"Cortess St",, -27.585705, 151.938873,,,0,
880333,,"Nevilla",, -27.587114, 151.938644,,,0,
880334,,"Westridge",, -27.589565, 151.938217,,,0,
880335,,"West / Stenner",, -27.591091, 151.937943,,,0,
880336,,"Luxford St",, -27.593081, 151.937592,,,0,
880337,,"Clive Cr",, -27.596357, 151.937027,,,0,
880338,,"West St",, -27.598122, 151.936722,,,0,
880339,,"Lavena Dr",, -27.600080, 151.936371,,,0,
880340,,"Heather St",, -27.601879, 151.936050,,,0,
880341,,"Uniplaza Ct",, -27.606297, 151.935272,,,0,
880342,,"USQ Village",, -27.608379, 151.934891,,,0,
880343,,"USQ Village",, -27.608362, 151.934814,,,0,
880344,,"Uniplaza Ct",, -27.606585, 151.935120,,,0,
880345,,"Heather St",, -27.601925, 151.935944,,,0,
880346,,"Lavena Dr",, -27.600014, 151.936295,,,0,
880347,,"West St",, -27.597921, 151.936646,,,0,
880348,,"Clive Cr",, -27.596348, 151.936935,,,0,
880349,,"Luxford St",, -27.593113, 151.937500,,,0,
880350,,"West / Stenner",, -27.591318, 151.937790,,,0,
880351,,"Westridge",, -27.588593, 151.938263,,,0,
880352,,"Nevilla",, -27.587065, 151.938553,,,0,
880353,,"Cortess St",, -27.585579, 151.938782,,,0,
880354,,"Butt St",, -27.582970, 151.939224,,,0,
880355,,"City Golf Course",, -27.579166, 151.939926,,,0,
880356,,"Peak St",, -27.577484, 151.940216,,,0,
880357,,"West / South",, -27.575481, 151.940582,,,0,
880358,,"Newington Park",, -27.571665, 151.941284,,,0,
880359,,"West St - Toowoomba Base Hospital",, -27.568810, 151.941788,,,0,
880360,,"Helen St",, -27.567081, 151.938950,,,0,
880361,,"Mirle St",, -27.566792, 151.936798,,,0,
880362,,"Masonic Hall - Newtown",, -27.561493, 151.933884,,,0,
880363,,"Allenby St",, -27.561045, 151.935059,,,0,
880364,,"Newtown",, -27.560623, 151.938156,,,0,
880365,,"Helen St",, -27.560791, 151.939362,,,0,
880366,,"St Mary's School",, -27.559895, 151.942566,,,0,
880367,,"Cecil St",, -27.560036, 151.946686,,,0,
880368,,"Toowoomba North State School",, -27.556675, 151.949371,,,0,
880369,,"Mort / Campbell",, -27.555103, 151.949646,,,0,
880370,,"Boulton Tce",, -27.552521, 151.946060,,,0,
880371,,"Holy Name School",, -27.551226, 151.944870,,,0,
880372,,"Hillview Ave",, -27.550091, 151.943329,,,0,
880373,,"Hillside St",, -27.549372, 151.942291,,,0,
880374,,"Wusteria Ct",, -27.547094, 151.938843,,,0,
880375,,"Avondale St",, -27.548227, 151.938629,,,0,
880376,,"Bridge / Gordon",, -27.549362, 151.937988,,,0,
880377,,"Cay St",, -27.549238, 151.937057,,,0,
880378,,"Monash La",, -27.549141, 151.935745,,,0,
880381,,"Sacred Heart School",, -27.538555, 151.929565,,,0,
880382,,"Sacred Heart School (Tor)",, -27.538774, 151.931244,,,0,
880383,,"St Andrews Hospital",, -27.539213, 151.934479,,,0,
880384,,"Tomkys St",, -27.537785, 151.936661,,,0,
880385,,"Burgundy St",, -27.531065, 151.932770,,,0,
880386,,"Glenvale State School",, -27.562569, 151.903931,,,0,
880387,,"Reithmuller Park (South)",, -27.563288, 151.911560,,,0,
880392,,"Reithmuller Park (North)",, -27.559563, 151.911240,,,0,
880399,,"Cressbrook Ct",, -27.558640, 151.916855,,,0,
880414,,"Miles Stret",, -27.565393, 151.923523,,,0,
880415,,"Power St",, -27.568125, 151.926376,,,0,
880416,,"Wilmot St",, -27.567591, 151.943939,,,0,
880417,,"Toowoomba Base Hospital",, -27.569469, 151.944550,,,0,
880418,,"Wilmot St",, -27.567986, 151.945694,,,0,
880419,,"Goggs St",, -27.566893, 151.947311,,,0,
880420,,"Langton St",, -27.565357, 151.946564,,,0,
880421,,"Laurel La",, -27.563070, 151.946899,,,0,
880422,,"Clifford St",, -27.561371, 151.947205,,,0,
880423,,"Clifford St",, -27.561436, 151.947372,,,0,
880424,,"Langton St",, -27.565861, 151.946625,,,0,
880425,,"Goggs St",, -27.567188, 151.947388,,,0,
880426,,"Anthony St",, -27.556190, 151.958466,,,0,
880427,,"Sir St",, -27.552248, 151.959503,,,0,
880428,,"North Toowoomba",, -27.552568, 151.961777,,,0,
880429,,"Southern Queensland TAFE",, -27.552893, 151.964355,,,0,
880430,,"Lilley St",, -27.553764, 151.967651,,,0,
880431,,"Godfrey St",, -27.557285, 151.967453,,,0,
880432,,"St Louis Ct",, -27.557850, 151.971191,,,0,
880433,,"Mater Dei School",, -27.558058, 151.972595,,,0,
880434,,"Curzon / Bridge",, -27.554884, 151.974579,,,0,
880435,,"Stonehaven St",, -27.553766, 151.972504,,,0,
880436,,"Rhyde St",, -27.552408, 151.972733,,,0,
880437,,"Alford / Mackenzie",, -27.551003, 151.972778,,,0,
880438,,"St David's",, -27.550383, 151.968613,,,0,
880439,,"Alford / Mary",, -27.550169, 151.967316,,,0,
880440,,"Alford St",, -27.549700, 151.964264,,,0,
880441,,"Sidney St",, -27.548494, 151.964096,,,0,
880442,,"Toowoomba State High School",, -27.545557, 151.964554,,,0,
880443,,"Toowoomba State High School",, -27.546204, 151.964523,,,0,
880444,,"Jellicoe St far side Stuart St",, -27.547253, 151.963882,,,0,
880445,,"Kenneth St",, -27.546646, 151.959686,,,0,
880446,,"Wellsley St",, -27.545950, 151.958389,,,0,
880447,,"Chamberlain St",, -27.544443, 151.958649,,,0,
880448,,"Murray St",, -27.542944, 151.958923,,,0,
880449,,"Yeates St",, -27.542936, 151.961288,,,0,
880450,,"North / Stuart",, -27.543413, 151.964432,,,0,
880451,,"Heritage Oval",, -27.541319, 151.965149,,,0,
880452,,"Garvey St",, -27.535624, 151.966171,,,0,
880453,,"Talinga St",, -27.535688, 151.966629,,,0,
880454,,"Talinga St",, -27.537539, 151.966888,,,0,
880455,,"Reginald St",, -27.538349, 151.967926,,,0,
880456,,"Ross St",, -27.539352, 151.968719,,,0,
880457,,"Rifle Range Rd",, -27.540543, 151.969421,,,0,
880458,,"Benjamin / Rifle Range",, -27.542273, 151.967300,,,0,
880459,,"Benjamin St",, -27.543915, 151.968597,,,0,
880460,,"Range St",, -27.544464, 151.969208,,,0,
880461,,"Spieker St",, -27.546625, 151.968842,,,0,
880462,,"Mary / Jellicoe",, -27.548201, 151.968582,,,0,
880463,,"Alford / Mary",, -27.550322, 151.968567,,,0,
880464,,"Alford St - 880464",, -27.550562, 151.970215,,,0,
880465,,"Alford / Mackenzie",, -27.550941, 151.972748,,,0,
880466,,"Rhyde St",, -27.552391, 151.972809,,,0,
880467,,"Stonehaven St",, -27.553955, 151.972549,,,0,
880468,,"Curzon / Bridge",, -27.554985, 151.974655,,,0,
880469,,"Dunmore St",, -27.556700, 151.974380,,,0,
880470,,"Mater Dei School",, -27.558193, 151.972870,,,0,
880471,,"St Louis Ct",, -27.557928, 151.971252,,,0,
880472,,"Godfrey St",, -27.557371, 151.967361,,,0,
880473,,"Warren St",, -27.556475, 151.967087,,,0,
880474,,"Lilley St",, -27.553837, 151.967514,,,0,
880475,,"Southern Queensland TAFE",, -27.552988, 151.964218,,,0,
880476,,"North Toowoomba",, -27.552700, 151.961914,,,0,
880477,,"Sir St",, -27.552393, 151.959518,,,0,
880478,,"French St",, -27.553593, 151.959030,,,0,
880479,,"Grenier St",, -27.556095, 151.958023,,,0,
880480,,"Evelyn St",, -27.552603, 151.954651,,,0,
880481,,"Delacy St",, -27.549982, 151.955093,,,0,
880482,,"Kelfield St",, -27.547295, 151.955566,,,0,
880483,,"Martin Klein Park",, -27.545601, 151.952087,,,0,
880484,,"Kenilworth St",, -27.544914, 151.949844,,,0,
880485,,"Robsart St",, -27.542679, 151.950241,,,0,
880486,,"North / Kenilworth",, -27.541529, 151.951202,,,0,
880487,,"Harlaxton State School",, -27.539551, 151.954178,,,0,
880488,,"Mole St",, -27.536840, 151.954666,,,0,
880489,,"Kate St",, -27.533154, 151.955322,,,0,
880490,,"Eagle St",, -27.531393, 151.956070,,,0,
880491,,"Gregory St",, -27.530298, 151.956726,,,0,
880492,,"Harlaxton",, -27.526943, 151.958069,,,0,
880493,,"Gleeson Cr",, -27.524567, 151.957169,,,0,
880494,,"Kelly / Dwyer",, -27.524696, 151.955597,,,0,
880495,,"Kelly St",, -27.524519, 151.954315,,,0,
880496,,"O'Brien St",, -27.524340, 151.952805,,,0,
880497,,"Mooney St",, -27.525543, 151.952835,,,0,
880498,,"Dwyer St",, -27.526237, 151.954437,,,0,
880500,,"Gregory St",, -27.530458, 151.956955,,,0,
880501,,"Downlands College",, -27.535538, 151.955200,,,0,
880502,,"Mole St",, -27.536839, 151.954987,,,0,
880503,,"Myall St",, -27.538385, 151.954681,,,0,
880504,,"Harlaxton State School",, -27.540018, 151.954376,,,0,
880505,,"Parrot St",, -27.541958, 151.953278,,,0,
